Location,x,y
Berlin,42.5640,52.1170
Hamburg,37.5670,48.1010
München,38.6310,62.9460
Frankfurt,34.6760,56.7400
Bremen,35.6000,49.3160
Stuttgart,35.3240,60.6010
Leipzig,40.3750,54.4430
Dresden,42.2540,55.0900
Hannover,37.3020,51.6550
Nünrberg,37.9770,59.5430
Bielefeld,35.1660,52.1190
Mannheim,34.3980,58.4990
Kassel,36.8590,54.0680
Magdeburg,39.7740,52.5670
Erfurt,38.8720,55.3960
Saarbrücken,32.3940,58.6180
Neuss,32.7370,53.7140
Würzburg,36.8260,58.3680
Siegen,34.4400,54.6970
Flensburg,37.6420,45.0340
Memmingen,36.4330,63.1540
Waren,41.4010,49.1750
Kehl,33.4020,61.2990
Deggendorf,40.3900,61.2820
Milano,33.9550,69.3930
Verona,37.1610,69.6370
Wien,45.2500,63.8130
Linz,42.3190,63.3070
Poznan,46.7990,51.8950
Barcelona,20.7030,77.6180
Budapest,49.8340,65.6590
Bregenz,35.5570,64.9610
